データ日付,終値
2019/2/15,20900.63
2019/2/18,21281.85
2019/2/19,21302.65
2019/2/20,21431.49
2019/2/21,21464.23
2019/2/22,21425.51
2019/2/25,21528.23
2019/2/26,21449.39
2019/2/27,21556.51
2019/2/28,21385.16
2019/3/1,21602.69
2019/3/4,21822.04
2019/3/5,21726.28
2019/3/6,21596.81
2019/3/7,21456.01
2019/3/8,21025.56
2019/3/11,21125.09
2019/3/12,21503.69
2019/3/13,21290.24
2019/3/14,21287.02
2019/3/15,21450.85
2019/3/18,21584.5
2019/3/19,21566.85
2019/3/20,21608.92
2019/3/22,21627.34
2019/3/25,20977.11
2019/3/26,21428.39
2019/3/27,21378.73
2019/3/28,21033.76
2019/3/29,21205.81
2019/4/1,21509.03
2019/4/2,21505.31
2019/4/3,21713.21
2019/4/4,21724.95
2019/4/5,21807.5
2019/4/8,21761.65
2019/4/9,21802.59
2019/4/10,21687.57
2019/4/11,21711.38
2019/4/12,21870.56
2019/4/15,22169.11
2019/4/16,22221.66
2019/4/17,22277.97
2019/4/18,22090.12
2019/4/19,22200.56
2019/4/22,22217.9
2019/4/23,22259.74
2019/4/24,22200
2019/4/25,22307.58
2019/4/26,22258.73
2019/5/7,21923.72
2019/5/8,21602.59
2019/5/9,21402.13
2019/5/10,21344.92
2019/5/13,21191.28
2019/5/14,21067.23
2019/5/15,21188.56
2019/5/16,21062.98
2019/5/17,21250.09
2019/5/20,21301.73
2019/5/21,21272.45
2019/5/22,21283.37
2019/5/23,21151.14
2019/5/24,21117.22
2019/5/27,21182.58
2019/5/28,21260.14
2019/5/29,21003.37
2019/5/30,20942.53
2019/5/31,20601.19
2019/6/3,20410.88
2019/6/4,20408.54
2019/6/5,20776.1
2019/6/6,20774.04
2019/6/7,20884.71
2019/6/10,21134.42
2019/6/11,21204.28
2019/6/12,21129.72
2019/6/13,21032
2019/6/14,21116.89
2019/6/17,21124
2019/6/18,20972.71
2019/6/19,21333.87
2019/6/20,21462.86
2019/6/21,21258.64
2019/6/24,21285.99
2019/6/25,21193.81
2019/6/26,21086.59
2019/6/27,21338.17
2019/6/28,21275.92
2019/7/1,21729.97
2019/7/2,21754.27
2019/7/3,21638.16
2019/7/4,21702.45
2019/7/5,21746.38
2019/7/8,21534.35
2019/7/9,21565.15
2019/7/10,21533.48
2019/7/11,21643.53
2019/7/12,21644.53
2019/7/13,21645.53
2019/7/14,21646.53
2019/7/15,21647.53
2019/7/16,21648.53
2019/7/17,21649.53
2019/7/18,21650.53
2019/7/19,21651.53
2019/7/20,21652.53
2019/7/21,21653.53
2019/7/22,21654.53
2019/7/23,21655.53
2019/7/24,21656.53
2019/7/25,21657.53
2019/7/26,21658.53
2019/7/27,21659.53
2019/7/28,21660.53
2019/7/29,21661.53
2019/7/30,21662.53
2019/7/31,21663.53
2019/8/1,21664.53
2019/8/2,21665.53
2019/8/3,21666.53
2019/8/4,21667.53
2019/8/5,21668.53
2019/8/6,21669.53
2019/8/7,21670.53
2019/8/8,21671.53
2019/8/9,21672.53
2019/8/10,21673.53
2019/8/11,21674.53
2019/8/12,21675.53
2019/8/13,21676.53
2019/8/14,21677.53
2019/8/15,21678.53
2019/8/16,21679.53
